site,advertisers,trackers,unknown
https://www.tartecosmetics.com,0,5,8
https://www.eyerim.hr,0,7,5
https://www.fielmann.at,0,1,2
https://www.edel-optics.de,0,15,0
https://www.invushop.com,0,5,0
https://www.transitions.com,3,18,5
https://www.ardellshop.com,0,12,10
https://www.kits.ca,0,20,10
https://www.aveda.ca,0,1,0
https://www.zennioptical.com,0,16,8
https://www.urbandecay.com,0,3,0
https://www.eyeglassworld.com,1,11,2
https://www.beekman1802.com,0,3,2
https://www.elfcosmetics.com,0,10,9
https://www.pttrns.ai,0,1,0
https://www.target.com,3,0,0
https://www.sallyhansen.com,1,2,3
https://www.baileynelson.com,0,13,14
https://www.maccosmetics.ca,0,1,2
https://www.sofinaip-hadaid.com,2,15,4
https://www.lancome.ca,0,8,0
https://www.americasbest.com,1,15,2
https://www.costadelmar.com,0,2,2
https://www.madison-reed.com,2,21,12
https://www.oakley.com,0,3,1
https://www.ray-ban.com,0,2,1
https://www.thelipbar.com,0,3,2
https://www.baume-et-mercier.com,1,12,2
https://www.punky.com,0,8,5
https://www.decortecosmetics.com,3,9,32
https://www.narscosmetics.com,0,24,23
https://www.janeiredale.com,0,18,22
https://www.charlietemple.com,0,1,0
https://www.modiface.com,0,3,0
https://www.armani.com,0,2,2
https://www.hansanders.nl,0,10,0
https://www.bebeautiful.in,0,15,5
https://www.luxottica.com,0,1,0
https://www.glasses.com,0,2,7
https://www.bulgari.com,0,7,5
https://www.gunnar.com,1,10,13
https://www.luna.io,0,4,8
https://www.fittingbox.com,0,14,8
https://www.catrice.eu,0,0,2
https://www.esteelauder.ca,0,1,5
https://www.nyxcosmetics.com,0,2,0
https://www.coffretdor-makeup.jp,0,4,7
https://www.benefitcosmetics.com,0,8,5
https://www.smartbuyglasses.com,0,1,3
https://www.vogue-eyewear.com,0,2,2
https://www.sunski.com,0,13,7
https://www.designerglasses.co.uk,0,10,2
https://www.oliverpeoples.com,0,4,0
https://www.jins.com,0,15,11
https://www.prada.com,0,1,1
https://www.afflelou.com,0,4,5
https://www.maybelline.ca,0,11,2
